0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z
0.06667,0.915347,0.184705,0.069143,0.99158,0.18408,0.100387,1.344916,0.159619,0.074177,1.454262,0.251762,0.26865,1.331949,0.219475,0.30039,1.100804,0.25291,0.2436935,0.8648560000000001,0.356094,0.2436935,0.8648560000000001,0.356094,-0.067453,1.338739,0.092881,-0.134148,1.112786,0.100008,-0.1858745,0.886295,0.19823,-0.1858745,0.886295,0.19823,0.128277,0.665641,0.315925,0.129731,0.212812,0.217796,0.160627,0.115003,0.161553,0.143837,0.056792,0.301028,-0.079523,0.607994,0.274445,-0.095751,0.328263,0.241596,-0.09643,0.123468,0.183706,-0.097278,0.052275,0.318073,0.100194,1.2967875,0.1558605,0.283441,0.79451,0.3586,0.283441,0.79451,0.3586,-0.201804,0.816526,0.17098,-0.201804,0.816526,0.17098
0.069471,0.914321,0.18096,0.071631,0.990564,0.180466,0.102846,1.344654,0.164083,0.072571,1.452659,0.256561,0.268361,1.331511,0.230753,0.301874,1.100144,0.260749,0.236648,0.8662890000000001,0.3642705,0.236648,0.8662890000000001,0.3642705,-0.062374,1.339216,0.091119,-0.129888,1.113395,0.09128,-0.185597,0.888065,0.190133,-0.185597,0.888065,0.190133,0.127556,0.667781,0.320339,0.130021,0.211542,0.220948,0.160331,0.114929,0.162367,0.143657,0.056004,0.301557,-0.077961,0.611358,0.279196,-0.097604,0.327569,0.245411,-0.097301,0.12394,0.183539,-0.097541,0.052645,0.317855,0.1029635,1.296596,0.1595075,0.273798,0.794628,0.368664,0.273798,0.794628,0.368664,-0.201951,0.818166,0.163473,-0.201951,0.818166,0.163473
0.072117,0.911949,0.177548,0.073983,0.9882,0.177095,0.104744,1.342698,0.169065,0.070191,1.449264,0.261712,0.267055,1.32918,0.242745,0.302713,1.097864,0.270589,0.2272585,0.866306,0.3739385,0.2272585,0.866306,0.3739385,-0.057237,1.338391,0.089247,-0.123899,1.11238,0.083907,-0.184641,0.8884025,0.1804295,-0.184641,0.8884025,0.1804295,0.126811,0.66822,0.324117,0.130482,0.209347,0.223538,0.160203,0.113849,0.162864,0.143403,0.055271,0.302184,-0.077025,0.614072,0.284334,-0.100226,0.326345,0.249604,-0.098281,0.123945,0.18385,-0.097573,0.053033,0.318367,0.1052075,1.2947325,0.1636245,0.261412,0.793371,0.380916,0.261412,0.793371,0.380916,-0.201547,0.818548,0.153999,-0.201547,0.818548,0.153999
0.074206,0.908514,0.174615,0.075737,0.984772,0.174036,0.105848,1.339455,0.174389,0.066889,1.444378,0.267163,0.264718,1.325049,0.254895,0.302338,1.09402,0.282531,0.215166,0.8652765,0.3851195,0.215166,0.8652765,0.3851195,-0.052495,1.336453,0.087564,-0.11652,1.109849,0.077326,-0.1826674999999999,0.887246,0.16924,-0.1826674999999999,0.887246,0.16924,0.125374,0.668085,0.328842,0.130551,0.206447,0.227125,0.160135,0.112215,0.164438,0.143123,0.054114,0.303933,-0.077121,0.616005,0.289412,-0.103527,0.324585,0.253465,-0.099482,0.123547,0.183751,-0.097902,0.053798,0.318867,0.1067055,1.2916124999999998,0.1679979999999999,0.245633,0.79111,0.395404,0.245633,0.79111,0.395404,-0.200929,0.817866,0.142463,-0.200929,0.817866,0.142463
0.075807,0.904376,0.172105,0.076872,0.980641,0.171372,0.106046,1.335437,0.1797,0.062715,1.43854,0.272576,0.261405,1.319964,0.266687,0.299781,1.089259,0.295946,0.199843,0.8640829999999999,0.3974915,0.199843,0.8640829999999999,0.3974915,-0.048573,1.333557,0.08643,-0.109996,1.106733,0.06821,-0.1797135,0.883683,0.155945,-0.1797135,0.883683,0.155945,0.124795,0.667646,0.334399,0.131196,0.203325,0.230962,0.160351,0.110625,0.165837,0.143079,0.053017,0.305504,-0.078762,0.617396,0.294176,-0.106835,0.322428,0.256878,-0.100552,0.122981,0.18289,-0.099298,0.054553,0.318684,0.107435,1.2877420000000002,0.172371,0.225827,0.78881,0.411399,0.225827,0.78881,0.411399,-0.195648,0.813943,0.128622,-0.195648,0.813943,0.128622
0.076924,0.899701,0.17006,0.077539,0.97597,0.169322,0.10527,1.3308,0.184766,0.057772,1.432145,0.27754,0.257094,1.31423,0.277679,0.294715,1.083829,0.310134,0.1808705,0.8638105,0.4110125,0.1808705,0.8638105,0.4110125,-0.045694,1.329952,0.085679,-0.103403,1.103051,0.058493,-0.175509,0.8793005,0.141438,-0.175509,0.8793005,0.141438,0.125368,0.666758,0.340774,0.13211,0.19998,0.23476,0.160698,0.109034,0.166965,0.143191,0.052087,0.306874,-0.082368,0.618415,0.298082,-0.110905,0.320153,0.258979,-0.101546,0.1225,0.18063,-0.103546,0.056235,0.317483,0.107186,1.283256,0.176622,0.202178,0.78796,0.429104,0.202178,0.78796,0.429104,-0.18953,0.809622,0.112936,-0.18953,0.809622,0.112936
0.077326,0.894669,0.169248,0.077482,0.970939,0.16835,0.103449,1.325664,0.189467,0.052137,1.42564,0.281693,0.251888,1.308221,0.28769,0.287559,1.078213,0.324801,0.1580695,0.865534,0.4254765,0.1580695,0.865534,0.4254765,-0.043666,1.325795,0.084882,-0.096496,1.099018,0.048346,-0.170351,0.8746659999999999,0.1261045,-0.170351,0.8746659999999999,0.1261045,0.125775,0.665558,0.348034,0.132337,0.196826,0.238075,0.160846,0.107846,0.167688,0.143298,0.051347,0.307773,-0.088251,0.618317,0.300682,-0.115761,0.317253,0.25917,-0.101714,0.121474,0.176916,-0.113596,0.058062,0.314617,0.105888,1.2782445,0.1807515,0.173872,0.789504,0.447935,0.173872,0.789504,0.447935,-0.182315,0.805192,0.096201,-0.182315,0.805192,0.096201
0.076808,0.88919,0.169489,0.076597,0.965458,0.168445,0.100492,1.320419,0.193837,0.045946,1.419566,0.285097,0.245668,1.302269,0.296998,0.278351,1.072634,0.338866,0.131661,0.870579,0.440266,0.131661,0.870579,0.440266,-0.042604,1.321437,0.084132,-0.089097,1.095137,0.037435,-0.1649495,0.870686,0.110744,-0.1649495,0.870686,0.110744,0.124818,0.663265,0.355065,0.13152,0.193315,0.240671,0.160821,0.10618,0.168328,0.143234,0.050625,0.308785,-0.096758,0.617225,0.301788,-0.121099,0.313664,0.257486,-0.100103,0.119886,0.172034,-0.130515,0.060082,0.308498,0.103457,1.273089,0.184807,0.140444,0.794677,0.466656,0.140444,0.794677,0.466656,-0.174394,0.801257,0.079848,-0.174394,0.801257,0.079848
0.07539,0.884344,0.170617,0.074561,0.960609,0.1696,0.096878,1.316164,0.198219,0.039184,1.414687,0.288211,0.238362,1.29723,0.306228,0.267691,1.068012,0.352624,0.1024025,0.880314,0.4547474999999999,0.1024025,0.880314,0.4547474999999999,-0.042159,1.31761,0.083152,-0.081196,1.092297,0.026025,-0.160353,0.86886,0.096624,-0.160353,0.86886,0.096624,0.121159,0.660523,0.360829,0.130449,0.190192,0.242392,0.160657,0.104714,0.168463,0.143214,0.050137,0.309321,-0.108145,0.616677,0.301603,-0.1276,0.310731,0.254971,-0.097361,0.118922,0.167863,-0.151539,0.061915,0.298013,0.1001895,1.2689145,0.1888915,0.102897,0.805155,0.484506,0.102897,0.805155,0.484506,-0.166609,0.799028,0.065827,-0.166609,0.799028,0.065827
0.071809,0.882015,0.172788,0.070526,0.958267,0.171399,0.092355,1.31353,0.202599,0.031587,1.411641,0.291003,0.229794,1.293947,0.315516,0.255512,1.065122,0.365828,0.0712885,0.89595,0.467758,0.0712885,0.89595,0.467758,-0.042097,1.315447,0.081972,-0.072987,1.091529,0.015191,-0.156401,0.869772,0.084731,-0.156401,0.869772,0.084731,0.114473,0.658738,0.364922,0.129154,0.188816,0.243602,0.16041,0.104524,0.168753,0.143197,0.049795,0.309581,-0.121281,0.617171,0.299628,-0.13559,0.309557,0.251179,-0.095093,0.11918,0.165102,-0.172551,0.062657,0.283125,0.0959795,1.2663415,0.193084,0.062855,0.822415,0.500255,0.062855,0.822415,0.500255,-0.160795,0.799175,0.055391,-0.160795,0.799175,0.055391
0.066425,0.882431,0.176398,0.064844,0.958654,0.17407,0.086409,1.312697,0.2066,0.022856,1.410889,0.292932,0.219574,1.292953,0.324619,0.24204,1.06468,0.378845,0.0396725,0.917405,0.47828,0.0396725,0.917405,0.47828,-0.042573,1.315604,0.080579,-0.066029,1.093892,0.004111,-0.1549995,0.875577,0.0770445,-0.1549995,0.875577,0.0770445,0.105385,0.657976,0.367735,0.127451,0.189492,0.244304,0.160199,0.105722,0.169507,0.143135,0.049438,0.309738,-0.135751,0.61835,0.29503,-0.144444,0.309803,0.245974,-0.094253,0.120113,0.163565,-0.19123,0.0635,0.266104,0.090398,1.265504,0.1972495,0.022138,0.84645,0.512813,0.022138,0.84645,0.512813,-0.159502,0.804129,0.049859,-0.159502,0.804129,0.049859
0.059885,0.884708,0.180096,0.058177,0.960923,0.177582,0.079381,1.314537,0.210138,0.012638,1.412884,0.293845,0.207486,1.294872,0.333591,0.226887,1.067241,0.391564,0.008781,0.9426275,0.48589,0.008781,0.9426275,0.48589,-0.043951,1.318002,0.07882,-0.060877,1.099106,-0.006921,-0.1582225,0.887699,0.0746425,-0.1582225,0.887699,0.0746425,0.095559,0.657575,0.369011,0.125987,0.190964,0.244371,0.159893,0.107428,0.169827,0.143318,0.049298,0.309362,-0.150065,0.620209,0.287882,-0.154028,0.311486,0.239398,-0.096997,0.121691,0.161821,-0.206542,0.065305,0.250952,0.0835765,1.267296,0.2011275,-0.017649,0.875222,0.521843,-0.017649,0.875222,0.521843,-0.163814,0.814985,0.051287,-0.163814,0.814985,0.051287
0.052794,0.888277,0.182922,0.050973,0.964524,0.181949,0.070792,1.318802,0.212819,0.000176,1.417503,0.292852,0.193385,1.299664,0.341763,0.210148,1.072959,0.40403,-0.020388,0.9685865,0.4909915,-0.020388,0.9685865,0.4909915,-0.046943,1.321895,0.076503,-0.058461,1.105956,-0.017258,-0.1668625,0.9065425,0.078375,-0.1668625,0.9065425,0.078375,0.085589,0.657315,0.368921,0.124728,0.192436,0.244987,0.159619,0.108822,0.170988,0.143301,0.048903,0.309794,-0.163758,0.623274,0.278376,-0.164705,0.315046,0.230179,-0.103711,0.124662,0.157198,-0.219043,0.067252,0.237985,0.0751715,1.271482,0.2043255,-0.054699,0.905046,0.527323,-0.054699,0.905046,0.527323,-0.174112,0.832248,0.061293,-0.174112,0.832248,0.061293
0.043394,0.893402,0.186606,0.041597,0.969652,0.187373,0.060518,1.324964,0.214507,-0.013287,1.424351,0.290722,0.17747,1.306813,0.34844,0.192325,1.081479,0.41595,-0.0474645,0.991714,0.4938789999999999,-0.0474645,0.991714,0.4938789999999999,-0.052234,1.327343,0.073972,-0.061273,1.113855,-0.025501,-0.1810175,0.930944,0.0878345,-0.1810175,0.930944,0.0878345,0.074351,0.657741,0.368506,0.123416,0.195133,0.245211,0.159542,0.111448,0.171887,0.143388,0.048923,0.309559,-0.17714,0.626143,0.267663,-0.175895,0.319226,0.218591,-0.112924,0.128061,0.149429,-0.230854,0.068992,0.225107,0.064782,1.277513,0.2067155,-0.087765,0.93163,0.529941,-0.087765,0.93163,0.529941,-0.19042,0.855454,0.079059,-0.19042,0.855454,0.079059
0.031151,0.899291,0.190926,0.029537,0.975514,0.193248,0.048932,1.332137,0.215132,-0.027269,1.432274,0.287931,0.160456,1.315331,0.353531,0.174502,1.091768,0.426854,-0.071466,1.0100615,0.494878,-0.071466,1.0100615,0.494878,-0.059705,1.333181,0.07128,-0.071411,1.120771,-0.030202,-0.2000755,0.957755,0.1013505,-0.2000755,0.957755,0.1013505,0.061073,0.658819,0.368177,0.121185,0.198849,0.245968,0.158994,0.115104,0.173568,0.143198,0.049049,0.309624,-0.189982,0.627914,0.256439,-0.186949,0.323132,0.20514,-0.122632,0.131065,0.139824,-0.242672,0.071008,0.211292,0.0529085,1.2845235000000002,0.2082255,-0.115641,0.952422,0.530388,-0.115641,0.952422,0.530388,-0.212458,0.882186,0.101073,-0.212458,0.882186,0.101073
0.015977,0.905252,0.195275,0.01468,0.98145,0.19847,0.035915,1.338138,0.214721,-0.041965,1.439401,0.284106,0.142861,1.322913,0.3567,0.157181,1.101358,0.435832,-0.092081,1.022021,0.494644,-0.092081,1.022021,0.494644,-0.069313,1.337757,0.068373,-0.088215,1.124919,-0.031106,-0.222846,0.984078,0.117336,-0.222846,0.984078,0.117336,0.045642,0.66041,0.367308,0.117958,0.203487,0.246263,0.158,0.119846,0.174951,0.143108,0.049616,0.309002,-0.202382,0.627865,0.244814,-0.196982,0.325936,0.190678,-0.131246,0.132923,0.129709,-0.253651,0.071915,0.196184,0.0394395,1.2903535000000002,0.208835,-0.138263,0.965499,0.529389,-0.138263,0.965499,0.529389,-0.237845,0.909224,0.123327,-0.237845,0.909224,0.123327
-0.002201,0.909294,0.198918,-0.003019,0.985475,0.202623,0.021664,1.341401,0.213638,-0.057091,1.444176,0.279735,0.124974,1.327929,0.358259,0.140166,1.10825,0.442308,-0.1097374999999999,1.0259765,0.4939415,-0.1097374999999999,1.0259765,0.4939415,-0.080755,1.339622,0.065343,-0.11073,1.125505,-0.028513,-0.2475605,1.0088835,0.134125,-0.2475605,1.0088835,0.134125,0.026481,0.661505,0.367706,0.112785,0.207035,0.247231,0.155981,0.124478,0.176499,0.142817,0.050281,0.308579,-0.214968,0.625404,0.233451,-0.205754,0.326561,0.176937,-0.138389,0.132847,0.120108,-0.26232,0.070144,0.182021,0.0245625,1.2934565,0.2087999999999999,-0.156212,0.969164,0.527811,-0.156212,0.969164,0.527811,-0.261946,0.93394,0.1405,-0.261946,0.93394,0.1405
